epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,392.341,0.81877,1.30038,1.35252,0.67192,0.60101,0.59932,0.33128,1.65446,1.79893,1.50041,0.000445756,0.000445756,0.000445756
76,397.631,0.77433,1.21109,1.30342,0.79608,0.57323,0.61529,0.3623,1.61023,1.75378,1.48024,0.000429253,0.000429253,0.000429253
77,402.598,0.78799,1.2578,1.33456,0.81475,0.56444,0.60243,0.3461,1.62273,1.79972,1.45208,0.000412749,0.000412749,0.000412749
78,407.669,0.82499,1.26242,1.35949,0.83899,0.57946,0.65656,0.3886,1.56464,1.70932,1.39649,0.000396246,0.000396246,0.000396246
79,412.868,0.82422,1.31259,1.33742,0.85141,0.57323,0.66617,0.40728,1.58235,1.58526,1.40742,0.000379743,0.000379743,0.000379743
80,417.894,0.73999,1.18692,1.29381,0.80268,0.60101,0.64987,0.39696,1.57293,1.62161,1.40639,0.000363239,0.000363239,0.000363239
81,422.983,0.78846,1.31265,1.31753,0.78613,0.62659,0.64135,0.36812,1.65827,1.65655,1.4657,0.000346736,0.000346736,0.000346736
82,427.813,0.7169,1.18451,1.27669,0.78983,0.6546,0.65092,0.36727,1.70391,1.66104,1.53784,0.000330233,0.000330233,0.000330233
83,432.944,0.77651,1.24205,1.29426,0.7273,0.58207,0.64858,0.37545,1.68052,1.63981,1.51929,0.000313729,0.000313729,0.000313729
84,438.023,0.75995,1.22509,1.33232,0.79627,0.55934,0.63137,0.3837,1.61793,1.6782,1.45601,0.000297226,0.000297226,0.000297226
85,443.176,0.77305,1.19501,1.32209,0.69302,0.62374,0.61175,0.36063,1.60553,1.75978,1.39848,0.000280723,0.000280723,0.000280723
86,448.207,0.70399,1.18933,1.30617,0.6662,0.65152,0.62063,0.37277,1.56117,1.70966,1.35434,0.00026422,0.00026422,0.00026422
87,453.46,0.70002,1.14419,1.28213,0.78153,0.56337,0.63858,0.38191,1.54809,1.65819,1.3938,0.000247716,0.000247716,0.000247716
88,458.518,0.78517,1.17834,1.32151,0.7766,0.55556,0.64417,0.36633,1.5873,1.68219,1.43016,0.000231213,0.000231213,0.000231213
89,463.558,0.71654,1.07881,1.26567,0.67935,0.63763,0.66143,0.36784,1.56159,1.66559,1.40611,0.00021471,0.00021471,0.00021471
90,468.415,0.69718,1.13724,1.26547,0.8444,0.55284,0.64992,0.36548,1.60702,1.65089,1.39214,0.000198206,0.000198206,0.000198206
91,474.23,1.16737,1.46547,1.44828,0.69909,0.6586,0.65062,0.35641,1.61951,1.64972,1.42626,0.000181703,0.000181703,0.000181703
92,479.241,1.16544,1.41331,1.42466,0.9083,0.54921,0.672,0.39038,1.58812,1.61275,1.38137,0.0001652,0.0001652,0.0001652
93,483.816,1.14476,1.40312,1.43741,0.92022,0.55391,0.66499,0.41019,1.54468,1.56015,1.34659,0.000148696,0.000148696,0.000148696
94,488.882,1.01934,1.29216,1.39268,0.71608,0.63763,0.62545,0.39639,1.53336,1.56343,1.34933,0.000132193,0.000132193,0.000132193
95,493.602,1.05897,1.34377,1.35885,0.85174,0.5868,0.63679,0.40012,1.52828,1.5786,1.35651,0.00011569,0.00011569,0.00011569
96,498.513,1.07792,1.27577,1.38138,0.88159,0.58417,0.6508,0.40502,1.5264,1.58413,1.36519,9.91865e-05,9.91865e-05,9.91865e-05
97,503.115,1.04375,1.23523,1.34832,0.84118,0.60101,0.64739,0.41483,1.4828,1.55737,1.35227,8.26832e-05,8.26832e-05,8.26832e-05
98,507.941,1.01025,1.25138,1.38844,0.82381,0.58712,0.65314,0.41166,1.48442,1.5385,1.34682,6.61799e-05,6.61799e-05,6.61799e-05
99,512.914,1.08205,1.27915,1.36811,0.85504,0.5519,0.63599,0.41594,1.48938,1.51898,1.34779,4.96766e-05,4.96766e-05,4.96766e-05
100,517.611,1.00449,1.17728,1.29848,0.85549,0.55353,0.64724,0.415,1.48806,1.51077,1.34504,3.31733e-05,3.31733e-05,3.31733e-05
